country,year,projected_cases,lower_ci,upper_ci
Iran (Islamic Republic of),2025,6653.3,1386.1,31935.6
Iran (Islamic Republic of),2026,6396.4,1130.1,36204.7
Iran (Islamic Republic of),2027,6149.4,919.1,41141.1
Iran (Islamic Republic of),2028,5911.9,746.3,46834.1
Iran (Islamic Republic of),2029,5683.6,605.1,53388.6
Iran (Islamic Republic of),2030,5464.2,490.1,60926.6
Iraq,2024,6314.9,1546.4,25787.0
Iraq,2025,6158.4,1283.0,29560.8
Iraq,2026,6005.8,1061.0,33994.7
Iraq,2027,5857.0,875.4,39186.0
Iraq,2028,5711.9,721.0,45250.6
Iraq,2029,5570.4,593.0,52326.0
Iraq,2030,5432.4,487.2,60573.7
Ireland,2024,183.7,44.8,752.6
Ireland,2025,174.3,36.2,839.6
Ireland,2026,165.4,29.1,939.7
Ireland,2027,156.9,23.4,1054.2
Ireland,2028,148.9,18.7,1184.7
Ireland,2029,141.2,15.0,1333.3
Ireland,2030,134.0,12.0,1502.1
Israel,2024,178.3,43.5,730.2
Israel,2025,167.8,34.8,808.3
Israel,2026,158.0,27.8,897.6
Israel,2027,148.7,22.1,999.2
Israel,2028,140.0,17.6,1114.1
Israel,2029,131.8,14.0,1244.1
Israel,2030,124.1,11.1,1390.7
Jamaica,2024,84.6,15.4,466.5
Jamaica,2025,83.3,12.5,556.0
Jamaica,2026,82.0,10.1,664.4
Jamaica,2027,80.7,8.2,795.6
Jamaica,2028,79.5,6.6,954.1
Jamaica,2029,78.2,5.3,1145.6
Jamaica,2030,77.0,4.3,1376.8
Japan,2024,10667.9,2612.5,43561.1
Japan,2025,10222.2,2129.7,49064.7
Japan,2026,9795.1,1730.6,55439.9
Japan,2027,9385.8,1403.0,62791.1
Japan,2028,8993.6,1135.3,71244.0
Japan,2029,8617.8,917.5,80946.6
Japan,2030,8257.8,740.6,92070.7
Jordan,2024,310.2,75.8,1269.4
Jordan,2025,306.2,63.6,1473.2
Jordan,2026,302.2,53.3,1715.0
Jordan,2027,298.3,44.5,2001.3
Jordan,2028,294.4,37.1,2339.5
Jordan,2029,290.6,30.8,2738.6
Jordan,2030,286.8,25.6,3209.4
Kazakhstan,2024,4725.2,1157.1,19295.9
Kazakhstan,2025,4289.0,893.5,20587.5
Kazakhstan,2026,3893.0,687.8,22035.5
Kazakhstan,2027,3533.5,528.1,23641.0
Kazakhstan,2028,3207.3,404.8,25408.7
Kazakhstan,2029,2911.1,309.9,27346.4
Kazakhstan,2030,2642.4,237.0,29463.8
Kenya,2024,88730.7,21730.8,362302.1
Kenya,2025,89001.0,18543.6,427165.9
Kenya,2026,89272.1,15773.5,505247.9
Kenya,2027,89544.1,13385.6,599011.5
Kenya,2028,89816.9,11339.0,711444.0
Kenya,2029,90090.5,9592.1,846146.9
Kenya,2030,90365.0,8105.4,1007449.6
Kiribati,2024,459.9,112.5,1880.9
